단지명,법정동,계약날짜,거래금액(만원),평당가격(만원),전용면적,층,층구간,건축년도,건물연식(년)
경희궁자이(4단지),교북동,2026-06-28,"100,000",8871.4,37.2635,7,중층,2017,9
동대문맨션,창신동,2026-06-23,"51,500",2030.9,83.83,6,중층,1973,53
두산,창신동,2026-06-22,"91,800",5062.1,59.95,7,중층,1999,27
흥인,창신동,2026-06-27,"57,700",3353.5,56.88,2,저층,1997,29
롯데캐슬로잔,평창동,2026-06-27,"201,000",3316.8,200.331,1,저층,2009,17
경희궁자이(2단지),홍파동,2026-06-27,"230,000",12703.0,59.8547,20,고층,2017,9
광화문스페이스본(101동~105동),사직동,2026-06-26,"210,000",5494.8,126.34,1,저층,2008,18
벽산블루밍평창힐스,평창동,2026-06-17,"160,000",3504.2,150.94,5,중층,2004,22
현대,무악동,2026-06-22,"159,917",4601.0,114.9,4,중층,2000,26
종로중흥S클래스,숭인동,2026-06-15,"11,500",1953.0,19.466,6,중층,2013,13
디팰리스,신문로2가,2026-06-24,"500,000",11202.2,147.551,9,중층,2020,6
경희궁자이(2단지),홍파동,2026-06-16,"277,000",10780.1,84.9443,7,중층,2017,9
명륜동주상복합아남아파트,명륜2가,2026-06-17,"89,500",4984.3,59.36,3,저층,1999,27
블루빌,숭인동,2026-06-22,"30,000",2347.3,42.25,5,중층,2017,9
창신이수,창신동,2026-06-18,"89,000",3481.8,84.5,2,저층,2003,23
두산,창신동,2026-06-08,"62,000",3418.8,59.95,11,고층,1999,27
명륜동주상복합아남아파트,명륜2가,2026-06-17,"89,500",4984.3,59.36,3,저층,1999,27
경희궁자이(2단지),홍파동,2026-06-07,"273,000",10638.0,84.8359,6,중층,2017,9
롯데캐슬천지인,숭인동,2026-06-11,"124,000",3642.4,112.54,13,고층,2004,22
인왕산2차아이파크,무악동,2026-06-06,"147,500",5802.9,84.0284,13,고층,2015,11
경희궁자이(2단지),홍파동,2026-06-05,"264,500",10306.8,84.8359,17,고층,2017,9
창신쌍용1,창신동,2026-06-04,"62,000",2566.2,79.87,13,고층,1992,34
종로청계힐스테이트,숭인동,2026-06-03,"104,000",5735.5,59.9426,10,고층,2009,17
