노선ID,노선번호,정류소ID,정류소명
DGB3000504000,504,DGB7041053900,죽전119안전센터건너
DGB3000320000,320,DGB7041053900,죽전119안전센터건너
DGB3000503001,503,DGB7041053900,죽전119안전센터건너
DGB4030002002,달서2,DGB7031004200,광장타운앞
DGB3000156000,156,DGB7031004200,광장타운앞
DGB3000509002,509,DGB7031004200,광장타운앞
DGB3000356000,356,DGB7031004200,광장타운앞
DGB4130002000,남구2,DGB7051013500,현충삼거리2
DGB3000300000,300,DGB7051013500,현충삼거리2
DGB3000320000,320,DGB7051013500,현충삼거리2
DGB3000651000,651,DGB7051003200,대명초등학교앞
DGB3000623002,623,DGB7051003200,대명초등학교앞
DGB3000326000,326,DGB7051003200,대명초등학교앞
DGB3000518002,518,DGB7051003200,대명초등학교앞
DGB3000564000,564,DGB7051003200,대명초등학교앞
DGB3000649000,649,DGB7051003200,대명초등학교앞
DGB3000306000,306,DGB7051003200,대명초등학교앞
DGB3000320000,320,DGB7051003200,대명초등학교앞
DGB4010002118,가창2,DGB7111040300,스파밸리1
DGB3000413001,413,DGB7111040300,스파밸리1
DGB4010002001,가창2,DGB7111040300,스파밸리1
DGB3000405004,405,DGB7111040300,스파밸리1
DGB3000304001,304,DGB7111040300,스파밸리1
DGB4080005000,수성5,DGB7111040300,스파밸리1
