단지명,법정동,계약날짜,거래금액,평당가격,전용면적,층,층구간,건축년도,건물연령
개나리푸르지오,역삼동,2026-06-27,3800000000,94568394.7,132.8355,21,고층,2006,20
청담현대3차아파트,청담동,2026-06-20,2400000000,132342285.2,59.95,9,중층,1999,27
도곡렉슬,도곡동,2026-06-29,4500000000,123122775.2,120.8233,12,중층,2006,20
대우디오빌,역삼동,2026-06-23,305000000,33575391.3,30.03,18,고층,2002,24
타워팰리스2,도곡동,2026-06-16,3650000000,104351552.4,115.63,4,저층,2003,23
이지마루역삼,역삼동,2026-06-22,395000000,49275132.1,26.5,7,중층,2018,8
개포주공7단지,개포동,2026-06-20,2980000000,184273924.4,53.46,3,저층,1983,43
삼성동중앙하이츠빌리지,삼성동,2026-06-12,4350000000,94000719.0,152.98,6,중층,2004,22
신동아,수서동,2026-06-16,1835000000,153456691.1,39.53,14,중층,1992,34
경남아너스빌,역삼동,2026-06-09,1560000000,63657042.7,81.013,10,중층,2002,24
이산,논현동,2026-06-11,550000000,31797656.5,57.18,2,저층,2011,15
도곡우성아파트,도곡동,2026-06-22,2700000000,105218201.1,84.83,14,중층,1986,40
현대썬앤빌테헤란,대치동,2026-06-26,492000000,45029169.4,36.12,6,중층,2016,10
현대썬앤빌테헤란,대치동,2026-06-11,770000000,51695085.3,49.24,7,중층,2016,10
샘터마을,일원동,2026-06-10,3080000000,88257060.1,115.366,3,저층,1994,32
대치더클래스,대치동,2026-06-22,2350000000,92242104.0,84.22,4,저층,2022,4
"쌍용대치아파트1동,2동,3동,5동,6동",대치동,2026-06-25,4700000000,104417069.9,148.8,14,중층,1983,43
선경1차(1동-7동),대치동,2026-06-23,5070000000,122625153.6,136.68,8,중층,1983,43
청담건영,청담동,2026-06-11,3300000000,128957267.0,84.595,5,저층,1994,32
한양6,압구정동,2026-06-30,5200000000,155229907.9,110.74,1,저층,1980,46
까치마을,수서동,2026-06-20,1450000000,139181475.0,34.44,6,중층,1993,33
개포우성2,대치동,2026-06-24,6200000000,128420802.0,159.6,6,중층,1984,42
두산위브1단지,논현동,2026-06-29,2120000000,82457331.8,84.993,8,중층,2004,22
한신(개포),도곡동,2026-06-27,3200000000,200617485.3,52.73,6,중층,1985,41
강남한신휴플러스6단지,율현동,2026-06-07,1800000000,70145467.4,84.83,3,저층,2015,11
도곡렉슬,도곡동,2026-06-27,2690000000,148266374.6,59.9772,22,고층,2006,20
개포자이프레지던스,개포동,2026-06-26,2740000000,181329014.6,49.9528,5,저층,2023,3
세곡푸르지오,세곡동,2026-06-29,1705000000,94112356.0,59.89,5,저층,2012,14
두산위브2단지,논현동,2026-06-30,2420000000,74886369.8,106.829,14,중층,2004,22
