"소방서별(1)","시점",합계,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,기타,기타,기타,기타,기타,기타
"소방서별(1)","시점",소계,소계,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,방수탑차(22m),화학차,화학차,화학차,화학차,배연차,구조공작차,제독차,화생방차,조명차·조연차,구조버스,펌프차,펌프차,펌프차,펌프차,물탱크차,구급차,구급차,구급차,지휘차,재난지원차,화재조사차,굴삭기,견인차,미분무가스소방차,기타(이동체험이동정비),홍보차,점검차,순찰차,소계,유조차,행정차,행정차,행정차,행정차,안전진단차,소방홍보차,소방순찰차,교육용차,소계,이륜차,트레일러,유조차,헬기,소방구조정
"소방서별(1)","시점",소계,소계,소계,55m,52m,50m,46m,40m,32m,68m,53m,46m,33m,소계,45m,41m,35m,27m,18.5m,69m,46m,33m,27m,소계,소계,내폭,고성능,일반,소계,소계,소계,소계,소계,소계,소계,대형,중형,소형,소계,소계,승합형,화물형,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,승용차,승합차,화물차,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계","2020",246,214,6,-,2,-,3,1,-,-,-,-,-,5,-,-,1,4,-,-,-,-,-,-,6,-,2,4,-,7,2,1,4,6,51,-,50,1,7,38,38,-,6,-,6,1,-,-,56,-,-,12,27,1,26,19,-,7,-,-,-,-,5,-,4,-,1,-
"합계","2021",259,206,5,-,-,-,-,-,-,-,2,3,-,6,-,-,-,-,-,1,-,1,4,-,6,-,2,4,-,7,2,1,4,7,55,-,54,1,7,41,41,-,6,-,6,1,-,-,52,-,-,-,47,-,29,21,1,7,5,-,13,-,6,-,4,1,1,-
"합계","2022",273,215,5,-,-,-,-,-,-,-,2,3,-,6,-,-,-,-,-,1,-,1,4,-,6,-,2,4,-,7,2,1,4,7,55,-,54,1,9,45,45,-,6,1,6,1,-,-,54,-,-,-,49,-,28,20,1,7,8,-,13,-,9,-,7,1,1,-
"합계","2023",275,207,6,-,-,-,-,-,-,-,2,3,1,6,-,-,-,-,-,1,-,-,5,-,6,-,2,4,-,7,2,1,4,10,52,-,51,1,10,43,43,-,6,7,6,1,-,-,40,-,-,-,57,-,31,22,2,7,8,-,13,5,11,-,9,1,1,-
"합계","2024",273,207,6,-,-,-,-,-,-,-,2,3,1,6,-,-,-,-,-,1,-,-,5,-,6,-,2,4,-,7,2,1,4,10,53,-,51,2,10,40,40,-,6,6,6,1,-,-,43,-,-,-,56,-,30,21,2,7,8,-,13,5,10,-,8,1,1,-
"소방안전본부","2020",29,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,1,-,-,-,-,-,-,-,-,1,-,1,1,-,-,8,-,-,2,7,1,6,5,-,1,-,-,-,-,4,-,3,-,1,-
"소방안전본부","2021",32,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,1,-,-,-,-,-,-,-,-,1,-,1,1,-,-,9,-,-,-,10,-,8,7,-,1,-,-,2,-,5,-,3,1,1,-
"소방안전본부","2022",36,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,1,-,-,-,-,-,-,-,-,1,1,1,1,-,-,11,-,-,-,11,-,8,7,-,1,1,-,2,-,5,-,3,1,1,-
