"소방서별(1)","시점",합계,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,기타,기타,기타,기타,기타
"소방서별(1)","시점",소계,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,방수탑차,화학차,화학차,화학차,화학차,배연차,구조공작차,제독차,화생방차,조명차·조연차,구조버스,펌프차,펌프차,펌프차,펌프차,물탱크차,구급차,구급차,구급차,지휘차,재난지원차,홍보차,점검차,순찰차,화재조사차,굴삭기,견인차,미분무가스소방차,기타(이동체험이동정비),유조차,행정차,행정차,행정차,안전진단차,소방홍보차,소방순찰차,교육용차,기타,이륜차,트레일러,유조차,헬기,소방구조정
"소방서별(1)","시점",소계,소계,68m,55m,53m,52m,46m,40m,33m,32m,소계,69m,46m,41m,35m,33m,27m,18.5m,22m,소계,내폭,고성능,일반,소계,소계,소계,소계,소계,소계,소계,대형,중형,소형,소계,소계,승합형,화물형,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,승용차,승합차,화물차,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계","2020",416,9,-,-,-,9,-,-,-,-,9,-,-,-,5,-,4,-,-,11,-,3,8,-,12,-,1,8,10,70,-,65,5,44,68,68,-,16,-,8,10,43,2,-,-,-,4,1,18,8,9,-,-,-,-,35,1,17,-,2,-
"합계","2021",456,9,-,-,-,9,-,-,-,-,12,1,-,-,5,-,4,2,-,11,-,3,8,-,22,2,1,8,11,70,-,65,5,44,83,83,-,16,-,-,-,-,2,-,-,-,4,-,18,8,9,10,8,43,-,25,1,17,1,2,19
"합계","2022",434,8,-,-,-,8,-,-,-,-,16,2,-,-,6,-,5,3,-,12,-,4,8,-,23,2,1,8,11,72,-,67,5,46,68,68,-,18,-,-,-,-,2,-,-,-,4,-,19,8,9,10,8,44,-,25,-,17,1,2,-
"합계","2023",532,8,-,-,8,-,-,-,-,-,13,2,-,-,-,8,3,-,-,13,-,4,9,-,26,2,1,9,12,75,-,68,7,49,81,81,-,30,43,-,-,-,5,-,-,-,4,-,11,11,10,12,9,51,-,33,-,21,1,2,-
"합계","2024",494,8,-,-,8,-,-,-,-,-,18,2,-,-,-,9,3,4,-,14,-,4,10,-,26,2,1,9,12,81,-,73,8,47,81,81,-,30,-,-,-,-,5,-,-,-,4,-,12,11,10,12,9,50,-,27,-,22,1,2,-
"본부","2020",27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,6,-,-,2,4,2,-,-,-,-,1,2,-,1,-,-,-,-,1,-,3,-,2,-
"본부","2021",29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,6,-,-,-,-,2,-,-,-,-,-,2,-,1,2,-,4,-,1,-,3,1,2,2
"본부","2022",14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,2,-,-,-,-,-,3,-,1,1,-,1,-,-,-,-,-,-,-
