"소방서별(1)","소방서별(2)",시점,합계,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,행정교육지원차,행정교육지원차,행정교육지원차,행정교육지원차,행정교육지원차,행정교육지원차,행정교육지원차,행정교육지원차,행정교육지원차,행정교육지원차,행정교육지원차,기타차,기타차
"소방서별(1)","소방서별(2)",시점,소계,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,사다리차,사다리차,사다리차,사다리차,사다리차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,소형사다리차,소형사다리차,소형사다리차,무인파괴방수차,소방펌프차,소방펌프차,소방펌프차,소방펌프차,소방물탱크차,소방물탱크차,소방물탱크차,소방화학차,소방화학차,소방화학차,화생방차,화생방차,화생방차,화생방대응차,화생방대응차,화생방대응차,화생방대응차,구급차,구급차,구급차,구조차,구조차,구조차,구조차,구조차,구조차,생활안전차,화재조사차,화재조사차,화재조사차,조배연차,조배연차,조배연차,조배연차,발전차,지휘차,지휘차,지휘차,미분무가스차,화재조사차,순찰차,재난관리,예방점검,재난지원,장비운반차,이동정비차,견인차,유조차,재난지휘차,재난지휘차,재난지휘차,재난현장 지원차,재난현장 지원차,재난현장 지원차,재난현장 지원차,재난현장 지원차,재난현장 지원차,재난현장 지원차,재난현장 지원차,이륜차,이륜차,이륜차,이륜차,행정차,행정차,행정차,행정차,이동안전체험차,홍보차,교육차,이동안전체험교육차,소방홍보차,소방순찰차,안전진단차,이륜차,트레일러
"소방서별(1)","소방서별(2)",시점,소계,소계,68m,55m,53m,52m,50m,46m,40m,32m,소계,68m급,53m급,46m급,33m급,소계,70m,45m,41m,28m,27m,69m급,46m급,33m급,27m급,소계,사다리식,굴절식,소계,소계,경형,소형,중형,소계,소형,중형,소계,고성능,일반,소계,제독차 생화학차,화생방운전차,소계,화생방분석차,화생방제독차,화생방장비운반차,소계,특수,음압,소계,구조공작차,구조버스,산악구조차,인명구조견차,구조견차,소계,소계,일반화재조사차,첨단화재조사차,소계,배연차,조연차,조명차,소계,소계,지휘버스,재난현장지휘차,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소형,중형,소계,이동정비차,발전차,회복지원차,유조차,장비운반차,트레일러,견인차,소계,화재진압오토바이,구급오토바이,순찰오토바이,소계,승용차,승합차,화물차,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계","소계",2020,1054,25,-,1,1,17,1,3,1,1,-,-,-,-,-,27,1,1,3,22,1,-,-,-,-,-,-,-,124,1,-,37,86,101,89,12,25,1,24,7,3,4,-,-,-,-,171,167,4,55,25,26,3,1,-,1,-,-,-,25,2,23,-,2,54,26,28,4,26,48,4,64,1,28,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,72,3,-,6,2,25,-,-,-,-,145,4
"합계","소계",2021,1081,27,2,1,19,-,3,-,1,1,-,-,-,-,-,28,1,1,3,7,16,-,-,-,-,-,-,-,1,125,1,37,87,103,102,1,26,1,25,7,3,4,-,-,-,-,171,164,7,57,26,27,3,1,-,-,-,-,-,25,2,23,-,2,56,27,29,4,27,49,11,76,1,29,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69,66,3,-,6,2,26,-,-,-,-,145,4
"합계","소계",2022,1104,-,-,-,-,-,-,-,-,-,27,3,21,1,2,24,-,-,-,-,-,1,3,-,20,10,6,4,1,119,1,36,82,103,102,1,26,1,25,-,-,-,7,1,2,4,184,169,15,57,26,27,3,-,1,-,27,25,2,25,2,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,28,27,50,1,2,1,1,45,-,-,145,2,22,121,105,75,4,26,-,-,-,6,1,62,70,-,-
"합계","소계",2023,1118,-,-,-,-,-,-,-,-,-,27,3,22,1,1,24,-,-,-,-,-,1,3,-,20,10,6,4,1,119,1,36,82,103,102,1,26,1,25,-,-,-,7,1,2,4,184,164,20,57,26,27,3,-,1,-,27,25,2,25,2,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,26,27,62,1,2,1,1,57,-,-,145,2,22,121,43,39,4,-,-,-,-,32,1,56,116,-,-
"합계","소계",2024,1117,-,-,-,-,-,-,-,-,-,27,4,22,-,1,24,-,-,-,-,-,1,3,-,20,11,7,4,1,119,1,36,82,103,102,1,27,1,26,-,-,-,7,1,2,4,188,165,23,57,26,27,3,-,1,-,27,25,2,25,2,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,26,27,66,1,4,1,1,59,-,-,127,2,4,121,45,40,5,-,-,-,-,32,1,56,121,-,-
"합계","소방재난본부",2020,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,-,2,14,-,7,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,1,1,-,-,-,-,-,-,-
"합계","소방재난본부",2021,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,-,2,14,-,7,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,1,1,-,-,-,-,-,-,-
"합계","소방재난본부",2022,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,2,1,-,1,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,1,-,13,7,-,-
"합계","소방재난본부",2023,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,2,1,-,1,-,-,-,-,-,-,-,-,10,9,1,-,-,-,-,1,-,7,6,-,-
"합계","소방재난본부",2024,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,3,1,-,1,-,1,-,-,-,-,-,-,11,10,1,-,-,-,-,1,-,7,6,-,-
"합계","119특수구조단",2020,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,2,-,-,-,-,-,-,-,7,1,2,3,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,4,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,2,-
"합계","119특수구조단",2021,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,2,-,-,-,-,-,-,-,7,1,2,3,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,4,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,2,-
