"소방서별(1)","시점",합계,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,기타,기타,기타,기타,기타
"소방서별(1)","시점",소계,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,방수탑차,화학차,화학차,화학차,화학차,배연차,구조공작차,산악구조차,생활안전차,제독차,화생방차,조명차·조연차,구조버스,펌프차,펌프차,펌프차,펌프차,물탱크차,구급차,구급차,구급차,지휘차,재난지원차,홍보차,안전진단차,순찰차,화재조사차,굴삭기,장비운반차,견인차,미분무가스소방차,기타(이동체험 이동정비),유조차,행정차,행정차,행정차,안전진단차,소방홍보차,소방순찰차,교육용차,이륜차,트레일러,유조차,헬기,소방구조정
"소방서별(1)","시점",소계,소계,68m,55m,53m,52m,50m,46m,40m,33m,32m,소계,69m,46m,45m,41m,33m,27m,18.5m,22m,소계,내폭,고성능,일반,소계,소계,소계,소계,소계,소계,소계,소계,소계,대형,중형,소형,소계,소계,승합형,화물형,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,승용차,승합차,화물차,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계","2020",263,5,-,-,-,4,-,-,-,-,1,7,-,-,2,-,-,5,-,3,12,2,5,5,-,5,8,23,1,1,5,7,43,-,37,6,18,37,37,-,8,-,2,6,7,6,-,21,-,-,1,1,17,3,-,-,-,-,-,-,15,-,1,-
"합계","2021",224,4,-,-,4,-,-,-,-,-,-,8,1,2,-,-,-,5,-,3,12,2,5,5,-,6,-,-,1,1,5,7,43,-,37,6,18,37,37,-,9,-,-,-,-,7,-,-,-,-,1,-,23,3,-,7,3,8,-,-,16,1,1,-
"합계","2022",229,4,-,-,4,-,-,-,-,-,-,8,1,2,-,-,-,5,-,3,12,2,5,5,-,6,-,-,1,1,4,7,43,-,37,6,18,40,40,-,10,-,-,-,-,7,-,-,-,-,1,-,24,3,-,8,3,8,-,-,16,1,1,-
"합계","2023",226,4,-,-,4,-,-,-,-,-,-,8,1,2,-,-,-,5,-,3,10,2,5,3,-,6,-,-,1,1,4,7,43,-,37,6,18,40,40,-,10,-,-,-,-,7,-,-,-,-,1,-,24,4,-,8,2,8,-,-,15,1,1,-
"합계","2024",300,4,-,-,4,-,-,-,-,-,-,8,1,2,-,-,-,5,-,4,10,2,5,3,-,7,-,-,1,1,4,7,43,-,37,6,18,39,39,-,10,65,-,-,-,7,-,-,-,-,1,-,31,4,-,8,3,9,-,-,14,1,1,-
"소방본부","2020",21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,3,-,2,1,1,-,-,5,-,-,1,1,2,-,-,-,-,-,-,-,-,-,1,-
"소방본부","2021",15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,3,-,-,-,-,1,-,-,-,-,1,-,2,-,-,1,1,1,-,-,-,1,1,-
"소방본부","2022",18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,4,-,-,-,-,1,-,-,-,-,1,-,3,-,-,2,1,1,-,-,-,1,1,-
