"소방서별(1)","시점",합계,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,행정차,행정차,행정차,행정차,행정차,기타차,기타차,기타차,기타차
"소방서별(1)","시점",소계,고가차,고가차,고가차,고가차,고가차,고가차,고가차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,방수탑차,화학차,화학차,화학차,화학차,배연차,구조공작차,제독차,화생방차,조명차·조연차,구조버스,펌프차,펌프차,펌프차,펌프차,물탱크차,구급차,구급차,구급차,지휘차,재난지원차,홍보차,점검차,순찰차,화재조사차,굴삭기,견인차,미분무가스소방차,기타(이동체험이동정비),유조차,행정차,행정차,행정차,교육용차,이륜차,트레일러,헬기,소방구조정
"소방서별(1)","시점",소계,소계,55m,52m,50m,46m,40m,32m,소계,45m,41m,35m,27m,18.5m,22m,소계,내폭,고성능,일반,소계,소계,소계,소계,소계,소계,소계,대형,중형,소형,소계,소계,승합형,화물형,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,승용차,승합차,화물차,소계,소계,소계,소계,소계
"합계","2020",448,14,2,7,-,5,-,-,9,-,-,3,4,2,2,25,-,11,14,2,24,-,1,6,12,81,5,56,20,45,86,86,-,14,11,2,19,12,11,2,1,-,20,1,15,15,12,-,-,-,2,4
"소방본부","2020",24,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,1,-,-,-,5,1,4,3,1,-,-,-,2,-
"중부소방서","2020",49,1,-,1,-,-,-,-,1,-,-,1,-,-,-,4,-,2,2,-,2,-,-,1,1,12,-,9,3,4,11,11,-,1,1,-,2,1,1,-,-,-,1,-,1,1,1,-,-,-,-,2
"남동소방서","2020",38,2,-,2,-,-,-,-,1,-,-,-,1,-,-,2,-,1,1,-,2,-,-,1,1,7,1,2,4,4,8,8,-,1,1,-,2,1,1,-,-,-,1,-,1,1,1,-,-,-,-,-
"부평소방서","2020",39,1,-,-,-,1,-,-,1,-,-,-,1,-,-,2,-,1,1,-,2,-,-,1,1,6,-,5,1,5,9,9,-,1,1,-,2,1,1,1,-,-,1,-,1,1,1,-,-,-,-,-
"서부소방서","2020",55,2,1,1,-,-,-,-,2,-,-,1,-,1,-,4,-,1,3,1,2,-,-,-,1,11,-,8,3,8,10,10,-,1,1,1,2,2,1,-,-,-,1,-,1,1,1,-,-,-,-,2
"공단소방서","2020",41,2,-,1,-,1,-,-,1,-,-,1,-,-,1,2,-,1,1,-,2,-,-,1,1,7,2,5,-,5,7,7,-,1,1,-,2,1,1,1,-,-,2,-,1,1,1,-,-,-,-,-
"계양소방서","2020",35,1,-,1,-,-,-,-,1,-,-,-,1,-,-,2,-,1,1,1,2,-,-,1,1,5,-,2,3,3,6,6,-,1,1,-,2,1,1,-,-,-,3,-,1,1,1,-,-,-,-,-
"미추홀소방서","2020",37,1,-,-,-,1,-,-,1,-,-,-,-,1,-,3,-,1,2,-,2,-,-,-,1,5,-,4,1,4,8,8,-,2,1,-,2,1,1,-,1,-,1,-,1,1,1,-,-,-,-,-
"강화소방서","2020",50,1,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,1,1,-,5,-,-,-,2,15,2,9,4,4,11,11,-,1,1,-,2,1,1,-,-,-,1,-,1,1,1,-,-,-,-,-
"영종소방서","2020",39,1,-,-,-,1,-,-,1,-,-,-,1,-,-,2,-,1,1,-,2,-,-,-,1,7,-,6,1,4,9,9,-,1,1,-,2,2,1,-,-,-,2,-,1,1,1,-,-,-,-,-
"송도소방서","2020",32,2,1,1,-,-,-,-,-,-,-,-,-,-,-,2,-,1,1,-,2,-,-,1,2,4,-,4,-,4,5,5,-,1,1,-,1,1,1,-,-,-,2,-,1,1,1,-,-,-,-,-
"소방학교","2020",9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,2,2,-,-,1,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-
