"소방서별(1)","시점",합계,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,기타,기타,기타,기타,기타
"소방서별(1)","시점",소계,고가차,고가차,고가차,고가차,고가차,굴절차,굴절차,굴절차,굴절차,굴절차,방수탑차,화학차,화학차,화학차,화학차,배연차,구조공작차,제독차,화생방차,조명차·조연차,구조버스,펌프차,펌프차,펌프차,펌프차,물탱크차,구급차,구급차,구급차,지휘차,재난지원차,화재조사차,굴삭기,견인차,미분무 가스 소방차,기타(이동체험 이동정비),행정차,행정차,행정차,안전진단차,소방홍보차,소방순찰차,교육용차,이륜차,트레일러,유조차,헬기,소방구조정
"소방서별(1)","시점",소계,소계,68m,53m,46m,33m,소계,69m,46m,33m,27m,22m,소계,내폭,고성능,일반,소계,소계,소계,소계,소계,소계,소계,대형,중형,소형,소계,소계,승합형,화물형,소계,소계,소계,소계,소계,소계,소계,승용차,승합차,화물차,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계","2021",460,14,2,7,5,-,7,-,1,-,6,2,25,-,11,14,2,13,-,-,6,12,75,5,57,13,46,88,88,-,15,-,11,2,1,-,47,29,15,14,19,2,12,-,-,-,-,2,1
"합계","2022",585,7,-,7,-,-,14,2,5,1,6,2,24,-,11,13,2,12,1,2,6,12,73,4,54,15,43,87,87,-,26,-,11,2,1,-,143,24,14,14,21,2,12,2,-,25,-,2,1
"합계","2023",529,8,-,8,-,-,14,2,4,1,7,2,25,-,12,13,1,13,1,2,7,13,76,4,57,15,48,91,91,-,28,53,12,2,1,-,4,23,16,15,21,2,13,4,-,31,-,2,1
"합계","2024",529,8,-,8,-,-,14,2,4,1,7,2,25,-,12,13,1,13,1,2,7,13,76,4,57,15,49,91,91,-,27,47,12,2,1,-,4,24,16,15,22,2,13,4,-,34,1,2,1
"소방본부","2021",31,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,-,-,7,7,3,3,-,1,-,-,-,-,-,2,-
"소방본부","2022",26,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,5,7,2,1,1,1,-,-,-,1,-,-,-
"소방본부","2023",27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,1,-,-,-,1,8,3,1,1,1,-,-,-,1,-,-,-
"소방본부","2024",27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5,1,-,-,-,1,8,3,1,2,1,-,-,-,1,-,-,-
"중부소방서","2021",49,1,-,1,-,-,1,-,-,-,1,-,3,-,1,2,-,1,-,-,1,1,11,-,9,2,4,11,11,-,1,-,1,-,-,-,6,2,1,1,2,-,1,-,-,-,-,-,-
"중부소방서","2022",62,1,-,1,-,-,1,-,-,-,1,-,3,-,1,2,-,1,-,-,1,1,10,-,8,2,3,11,11,-,2,-,1,-,-,-,18,1,1,1,2,-,1,-,-,2,-,-,1
"중부소방서","2023",48,1,-,1,-,-,1,-,-,-,1,-,3,-,1,2,-,1,-,-,1,1,11,-,9,2,4,11,11,-,2,3,1,-,-,-,-,1,1,1,2,-,1,-,-,2,-,-,-
"중부소방서","2024",52,1,-,1,-,-,1,-,-,-,1,-,3,-,1,2,-,1,-,-,1,1,11,-,9,2,4,11,11,-,2,7,1,-,-,-,-,1,1,1,2,-,1,-,-,2,-,-,-
"남동소방서","2021",38,2,-,2,-,-,1,-,-,-,1,-,2,-,1,1,-,1,-,-,1,1,6,1,2,3,4,8,8,-,1,-,1,-,-,-,3,2,1,1,2,-,1,-,-,-,-,-,-
"남동소방서","2022",47,2,-,2,-,-,1,-,-,-,1,-,2,-,1,1,-,1,-,-,1,1,6,-,3,3,4,8,8,-,2,-,1,-,-,-,11,1,1,1,2,-,1,-,-,1,-,-,-
"남동소방서","2023",38,2,-,2,-,-,1,-,-,-,1,-,2,-,1,1,-,1,-,-,1,1,6,-,3,3,4,8,8,-,2,2,1,-,-,-,-,1,1,1,2,-,1,-,-,1,-,-,-
"남동소방서","2024",39,2,-,2,-,-,1,-,-,-,1,-,2,-,1,1,-,1,-,-,1,1,6,-,3,3,4,8,8,-,2,3,1,-,-,-,-,1,1,1,2,-,1,-,-,1,-,-,-
"부평소방서","2021",39,1,-,-,1,-,1,-,-,-,1,-,2,-,1,1,-,1,-,-,1,1,6,-,5,1,5,9,9,-,1,-,1,1,-,-,2,2,1,1,2,-,1,-,-,-,-,-,-
"부평소방서","2022",50,-,-,-,-,-,2,-,1,-,1,-,2,-,1,1,-,1,-,-,1,1,6,-,5,1,5,9,9,-,2,-,1,1,-,-,12,1,1,1,2,-,1,-,-,1,-,-,-
"부평소방서","2023",42,-,-,-,-,-,2,-,1,-,1,-,2,-,1,1,-,1,-,-,1,1,6,-,5,1,5,10,10,-,2,3,1,1,-,-,-,1,1,1,2,-,1,-,-,1,-,-,-
"부평소방서","2024",41,-,-,-,-,-,2,-,1,-,1,-,2,-,1,1,-,1,-,-,1,1,6,-,5,1,5,10,10,-,2,2,1,1,-,-,-,1,1,1,2,-,1,-,-,1,-,-,-
"서부소방서","2021",58,2,1,1,-,-,1,-,-,-,1,-,4,-,1,3,1,1,-,-,-,1,11,-,9,2,9,12,12,-,1,-,1,-,-,-,4,2,1,1,2,1,2,-,-,-,-,-,1
"서부소방서","2022",72,1,-,1,-,-,2,1,-,1,-,-,4,-,1,3,1,1,-,-,-,1,11,-,9,2,8,12,12,-,2,-,1,-,-,-,16,1,1,1,2,1,2,1,-,3,-,-,-
"서부소방서","2023",49,-,-,-,-,-,2,1,-,1,-,-,3,-,1,2,1,1,-,-,-,1,6,-,4,2,7,8,8,-,2,4,1,-,-,-,-,1,1,1,2,1,2,1,-,3,-,-,1
"서부소방서","2024",49,-,-,-,-,-,2,1,-,1,-,-,3,-,1,2,1,1,-,-,-,1,6,-,4,2,7,8,8,-,2,4,1,-,-,-,-,1,1,1,2,1,2,1,-,3,-,-,1
"공단소방서","2021",41,2,-,1,1,-,1,-,-,-,1,1,2,-,1,1,-,1,-,-,1,1,7,2,5,-,5,7,7,-,1,-,1,1,-,-,3,2,1,1,2,-,1,-,-,-,-,-,-
"공단소방서","2022",51,1,-,1,-,-,2,-,1,-,1,1,2,-,1,1,-,1,-,-,1,1,6,2,3,1,4,7,7,-,2,-,1,1,-,-,12,1,1,1,2,-,1,1,-,2,-,-,-
"공단소방서","2023",46,1,-,1,-,-,2,-,1,-,1,1,2,-,1,1,-,1,-,-,1,1,7,2,4,1,5,8,8,-,2,4,1,1,-,-,-,1,1,1,2,-,1,1,-,2,-,-,-
"공단소방서","2024",44,1,-,1,-,-,2,-,1,-,1,1,2,-,1,1,-,1,-,-,1,1,7,2,4,1,5,8,8,-,2,2,1,1,-,-,-,1,1,1,2,-,1,1,-,2,-,-,-
"계양소방서","2021",35,1,-,1,-,-,1,-,-,-,1,-,2,-,1,1,1,1,-,-,1,1,4,-,2,2,3,6,6,-,1,-,1,-,-,-,5,2,1,1,2,-,1,-,-,-,-,-,-
"계양소방서","2022",42,1,-,1,-,-,1,-,-,-,1,-,2,-,1,1,1,1,-,-,1,1,4,-,1,3,3,6,6,-,2,-,1,-,-,-,11,1,1,1,2,-,1,-,-,1,-,-,-
"계양소방서","2023",34,1,-,1,-,-,1,-,-,-,1,-,2,-,1,1,-,1,-,-,1,1,4,-,1,3,3,6,6,-,2,2,1,-,-,-,1,1,1,1,2,-,1,1,-,1,-,-,-
"계양소방서","2024",35,1,-,1,-,-,1,-,-,-,1,-,2,-,1,1,-,1,-,-,1,1,4,-,1,3,3,6,6,-,2,3,1,-,-,-,1,1,1,1,2,-,1,1,-,1,-,-,-
"미추홀소방서","2021",37,1,-,-,1,-,-,-,-,-,-,-,3,-,1,2,-,1,-,-,-,1,5,-,4,1,4,8,8,-,2,-,1,-,1,-,3,2,1,1,2,-,1,-,-,-,-,-,-
"미추홀소방서","2022",47,-,-,-,-,-,1,-,1,-,-,-,3,-,1,2,-,1,-,-,-,1,5,-,4,1,4,8,8,-,3,-,1,-,1,-,12,1,1,1,2,-,1,-,-,1,-,-,-
"미추홀소방서","2023",38,1,-,1,-,-,-,-,-,-,-,-,3,-,1,2,-,1,-,-,-,1,5,-,4,1,4,9,9,-,2,3,1,-,1,-,-,1,1,1,2,-,1,-,-,1,-,-,-
"미추홀소방서","2024",38,1,-,1,-,-,-,-,-,-,-,-,3,-,1,2,-,1,-,-,-,1,5,-,4,1,4,9,9,-,2,3,1,-,1,-,-,1,1,1,2,-,1,-,-,1,-,-,-
"강화소방서","2021",52,1,-,-,1,-,-,-,-,-,-,-,2,-,1,1,-,3,-,-,-,2,13,2,9,2,4,11,11,-,1,-,1,-,-,-,7,2,1,1,2,-,1,-,-,-,-,-,-
"강화소방서","2022",65,-,-,-,-,-,1,-,1,-,-,-,2,-,1,1,-,2,-,-,-,2,13,1,10,2,4,10,10,-,2,-,1,-,-,-,18,1,1,1,2,-,1,-,-,4,-,-,-
"강화소방서","2023",52,-,-,-,-,-,1,-,1,-,-,-,2,-,1,1,-,2,-,-,-,2,13,1,10,2,4,10,10,-,2,5,1,-,-,-,-,1,1,1,2,-,1,-,-,4,-,-,-
"강화소방서","2024",57,-,-,-,-,-,1,-,1,-,-,-,2,-,1,1,-,2,-,-,-,2,13,1,10,2,5,10,10,-,2,9,1,-,-,-,-,1,1,1,2,-,1,-,-,4,-,-,-
"영종소방서","2021",39,1,-,-,1,-,1,-,1,-,-,-,2,-,1,1,-,1,-,-,-,1,6,-,6,-,4,9,9,-,1,-,1,-,-,-,4,2,1,1,2,-,2,-,-,-,-,-,-
"영종소방서","2022",54,-,-,-,-,-,2,-,1,-,1,-,2,-,1,1,-,1,-,-,-,1,6,-,6,-,4,9,9,-,2,-,1,-,-,-,14,1,1,1,2,-,2,-,-,5,-,-,-
"영종소방서","2023",49,-,-,-,-,-,2,-,1,-,1,-,2,-,1,1,-,1,-,-,-,1,6,-,6,-,4,10,10,-,2,6,1,-,-,-,1,1,1,1,2,-,2,1,-,5,-,-,-
"영종소방서","2024",49,-,-,-,-,-,2,-,1,-,1,-,2,-,1,1,-,1,-,-,-,1,6,-,6,-,4,10,10,-,2,3,1,-,-,-,1,1,1,1,2,-,2,1,-,8,-,-,-
"송도소방서","2021",32,2,1,1,-,-,-,-,-,-,-,-,2,-,1,1,-,1,-,-,1,2,4,-,4,-,4,5,5,-,1,-,1,-,-,-,3,2,1,1,1,-,1,-,-,-,-,-,-
"송도소방서","2022",39,1,-,1,-,-,1,1,-,-,-,-,1,-,1,-,-,1,-,-,1,2,4,1,3,-,4,5,5,-,2,-,1,-,-,-,7,1,1,1,2,-,1,-,-,3,-,-,-
"송도소방서","2023",40,1,-,1,-,-,1,1,-,-,-,-,1,-,1,-,-,1,-,-,1,2,4,1,3,-,4,5,5,-,2,6,1,-,-,-,1,1,1,1,1,-,1,-,-,5,-,-,-
"송도소방서","2024",36,1,-,1,-,-,1,1,-,-,-,-,1,-,1,-,-,1,-,-,1,2,4,1,3,-,4,5,5,-,2,2,1,-,-,-,1,1,1,1,1,-,1,-,-,5,-,-,-
"검단소방서","2022",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-
"검단소방서","2023",32,1,-,1,-,-,1,-,-,-,1,-,2,-,1,1,-,1,-,-,1,1,6,-,6,-,4,4,4,-,2,2,1,-,-,-,-,1,1,1,1,-,1,-,-,1,-,-,-
"검단소방서","2024",32,1,-,1,-,-,1,-,-,-,1,-,2,-,1,1,-,1,-,-,1,1,6,-,6,-,4,4,4,-,2,2,1,-,-,-,-,1,1,1,1,-,1,-,-,1,-,-,-
"소방학교","2021",9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,2,2,-,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,-,-,-,-
"소방학교","2022",12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,2,2,-,-,-,-,-,-,-,2,2,2,1,-,-,-,-,-,1,-,-,-
"소방학교","2023",11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,2,2,-,-,1,-,-,-,-,-,2,2,1,-,-,-,-,-,1,-,-,-
"소방학교","2024",10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,2,2,-,-,-,-,-,-,-,-,2,2,1,-,-,-,-,-,1,-,-,-
"특수대응단","2022",12,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,2,-
"특수대응단","2023",21,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,1,-,1,-,-,-,-,-,3,-,2,-
"특수대응단","2024",18,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,1,1,2,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,2,-,1,-,-,-,-,-,3,1,2,-
"국민안전체험관","2022",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
