"소방서별(1)","시점",발생 (건),발생 (건),발생 (건),발생 (건),소실,소실,소실,피해액 (천원),피해액 (천원),피해액 (천원),재산피해경감액 (천원),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),이재민수 (명),이재민수 (명),이재민수 (명),구조인원 (명),구조인원 (명),구조인원 (명)
"소방서별(1)","시점",소계,실화,방화,기타,동수 (동),이재가구수 (가구),면적 (㎡),소계,부동산,동산,소계,소계,남,여,사망,사망,사망,부상,부상,부상,소계,남,여,소계,남,여
"소방서별(1)","시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남,여,소계,남,여,소계,소계,소계,소계,소계,소계
"합계","2020",882,814,15,53,403,31,22461,3315188,1546647,1768541,177321123,32,22,10,4,1,3,28,21,7,72,40,32,71,37,34
"합계","2021",743,687,9,47,395,25,48515,20199240,4778281,15420959,346612017,27,19,8,8,7,1,19,12,7,65,34,31,23,10,13
"합계","2022",761,653,31,77,473,26,12345,3385131,1390494,1994637,4838663606,28,23,5,3,3,-,25,20,5,45,22,23,36,16,20
"합계","2023",732,610,31,91,507,19,61083,5407933,2142838,3265095,241982215,33,22,11,6,4,2,27,18,9,42,27,15,71,40,31
"합계","2024",688,565,27,96,444,55,59824,6111077,3202291,2908786,239678438,51,32,19,9,8,1,42,24,18,115,60,55,139,79,60
"동부소방서","2020",74,69,2,3,41,3,723,258994,152591,106403,6671076,7,4,3,1,-,1,6,4,2,4,2,2,2,2,-
"동부소방서","2021",67,63,-,4,30,1,558,350098,174422,175676,148213267,1,1,-,-,-,-,1,1,-,22,10,12,-,-,-
"동부소방서","2022",60,57,1,2,53,-,805,739207,268758,470449,13063898,3,3,-,-,-,-,3,3,-,-,-,-,2,2,-
"동부소방서","2023",65,55,4,6,48,3,797,516542,130623,385919,7127207,2,2,-,-,-,-,2,2,-,3,1,2,1,-,1
"동부소방서","2024",68,55,1,12,50,7,12346,658335,516347,141988,15254044,3,2,1,-,-,-,3,2,1,12,6,6,7,4,3
"서부소방서","2020",182,176,1,5,88,16,1653,520496,287363,233133,82749931,7,6,1,1,1,-,6,5,1,35,20,15,31,15,16
"서부소방서","2021",160,156,3,1,113,6,1558,660561,296597,363964,90014502,5,4,1,1,1,-,4,3,1,2,-,2,-,-,-
"서부소방서","2022",156,146,3,7,90,3,1260,505121,238347,266774,1827709751,2,2,-,-,-,-,2,2,-,3,1,2,9,3,6
"서부소방서","2023",159,141,5,13,103,2,1703,1578575,555247,1023328,60410621,7,4,3,1,1,-,6,3,3,5,3,2,11,6,5
"서부소방서","2024",140,124,6,10,97,9,2421,1081578,341140,740438,77143627,11,6,5,4,3,1,7,3,4,21,11,10,4,2,2
"남부소방서","2020",101,97,3,1,23,-,1681,231527,115269,116258,37659703,3,2,1,1,-,1,2,2,-,-,-,-,6,3,3
"남부소방서","2021",87,81,1,5,31,2,21009,267209,110580,156629,13237980,4,3,1,2,1,1,2,2,-,20,13,7,9,4,5
"남부소방서","2022",88,62,10,16,62,1,1267,250669,97606,153063,15774706,4,4,-,-,-,-,4,4,-,4,1,3,4,1,3
"남부소방서","2023",83,70,1,12,65,1,3968,256431,182445,73986,18135749,5,2,3,-,-,-,5,2,3,3,3,-,17,10,7
"남부소방서","2024",85,72,1,12,51,1,1126,379090,230603,148487,19969215,2,2,-,-,-,-,2,2,-,5,3,2,47,27,20
"북부소방서","2020",251,221,8,22,121,7,2281,1369615,555646,813969,35844217,12,9,3,1,-,1,11,9,2,17,10,7,25,13,12
"북부소방서","2021",191,172,2,17,81,7,3357,918601,508029,410572,71307371,13,7,6,3,3,-,10,4,6,17,9,8,12,5,7
"북부소방서","2022",201,168,8,25,129,11,3143,842327,271913,570414,2921729270,12,8,4,1,1,-,11,7,4,21,10,11,16,6,10
"북부소방서","2023",172,135,17,20,127,8,43087,1544655,552612,992043,83464988,9,7,2,4,2,2,5,5,-,26,16,10,37,20,17
"북부소방서","2024",200,160,13,27,111,18,39016,836177,451426,384751,69181835,25,17,8,4,4,-,21,13,8,39,20,19,71,40,31
"광산소방서","2020",274,251,1,22,130,5,16123,934556,435778,498778,14396196,3,1,2,-,-,-,3,1,2,16,8,8,7,4,3
"광산소방서","2021",238,215,3,20,140,9,22033,18002771,3688653,14314118,23838897,4,4,-,2,2,-,2,2,-,4,2,2,2,1,1
"광산소방서","2022",256,220,9,27,139,11,5870,1047807,513870,533937,60385981,7,6,1,2,2,-,5,4,1,17,10,7,5,4,1
"광산소방서","2023",253,209,4,40,164,5,11528,1511730,721911,789819,72843650,10,7,3,1,1,-,9,6,3,5,4,1,5,4,1
"광산소방서","2024",195,154,6,35,135,20,4915,3155897,1662775,1493122,58129717,10,5,5,1,1,-,9,4,5,38,20,18,10,6,4
