"소방서별(1)","시점",발생 (건),발생 (건),발생 (건),소실,소실,소실,피해액 (천원),피해액 (천원),재산피해 경감액 (천원),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),이재민수 (명),구조인원 (명)
"소방서별(1)","시점",실화,방화,기타,동수 (동),이재가구 (가구),면적 (㎡),부동산,동산,소계,소계,남,여,사망,사망,사망,부상,부상,부상,소계,소계
"소방서별(1)","시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남,여,소계,남,여,소계,소계
"합계","2020",1103,44,86,344,29,17227,2893854,3569205,222437596,74,53,21,11,8,3,63,45,18,55,404
"합계","2021",1027,36,126,332,18,31634,4807498,5232410,224932087,65,49,16,5,5,-,60,44,16,31,69
"합계","2022",1104,28,162,506,15,1285539,12875521,17342798,210468202,129,97,32,18,12,6,111,85,26,30,91
"합계","2023",1069,24,179,460,16,61631,9229006,16578709,454898306,83,53,30,14,9,5,69,44,25,28,67
"합계","2024",982,33,190,361,9,186579,4468379,5490817,1404864585,106,69,37,11,8,3,95,61,34,18,98
"중부소방서","2020",117,5,11,49,3,1054,251775,452241,25558675,3,1,2,-,-,-,3,1,2,4,68
"중부소방서","2021",115,3,16,26,2,1588,586218,244189,33186188,14,7,7,1,1,-,13,6,7,2,7
"중부소방서","2022",120,4,21,78,7,2058,475581,669316,20517640,10,7,3,3,2,1,7,5,2,13,11
"중부소방서","2023",122,6,12,45,2,20767,317851,395412,65735104,13,8,5,2,1,1,11,7,4,2,8
"중부소방서","2024",128,6,17,51,2,1561,562069,205518,32339395,7,3,4,-,-,-,7,3,4,3,29
"동부소방서","2020",173,8,17,73,7,2119,284712,547892,27090528,11,10,1,2,2,-,9,8,1,11,22
"동부소방서","2021",134,7,20,87,3,7527,580398,456505,10299468,9,9,-,1,1,-,8,8,-,6,3
"동부소방서","2022",167,6,30,128,-,23737,890134,1634654,18804416,15,11,4,1,-,1,14,11,3,-,23
"동부소방서","2023",154,3,22,108,6,5343,313032,445279,29391726,8,5,3,2,2,-,6,3,3,9,2
"동부소방서","2024",114,6,16,40,1,15222,397996,345016,136679425,19,11,8,1,1,-,18,10,8,3,43
"서부소방서","2020",190,6,7,17,8,1258,312191,696198,45960566,16,13,3,-,-,-,16,13,3,15,42
"서부소방서","2021",153,5,12,45,2,2172,354748,883651,34860792,7,5,2,1,1,-,6,4,2,4,4
"서부소방서","2022",187,3,13,102,3,11559,2688188,5094168,30151193,23,17,6,2,1,1,21,16,5,9,23
"서부소방서","2023",113,3,11,86,3,12891,5924777,12429773,43680298,9,8,1,2,2,-,7,6,1,4,3
"서부소방서","2024",109,1,15,37,-,828,122057,328125,7343139,10,7,3,-,-,-,10,7,3,-,1
"북부소방서","2020",143,3,13,19,3,1317,392015,474459,25712874,13,6,7,1,-,1,12,6,6,8,68
"북부소방서","2021",130,5,16,31,3,3386,563191,620952,29559672,10,7,3,1,1,-,9,6,3,6,1
"북부소방서","2022",109,4,22,55,3,8936,2136559,2643332,17360979,11,9,2,2,2,-,9,7,2,5,3
"북부소방서","2023",109,3,11,16,-,2165,306844,442032,14482692,13,7,6,2,-,2,11,7,4,-,27
"북부소방서","2024",96,3,11,47,-,911,163886,194624,10741793,7,6,1,1,1,-,6,5,1,-,3
"수성소방서","2020",132,8,10,49,3,3327,258516,267407,17485863,4,2,2,-,-,-,4,2,2,9,47
"수성소방서","2021",108,7,14,43,4,2240,768547,1193793,57240144,1,-,1,-,-,-,1,-,1,7,38
"수성소방서","2022",110,1,19,58,1,1119937,368061,619774,27426841,28,22,6,8,5,3,20,17,3,1,26
"수성소방서","2023",107,3,25,65,2,6059,135494,137785,103210748,6,3,3,2,-,2,4,3,1,5,1
"수성소방서","2024",94,3,23,75,1,1375,395759,349331,46781130,10,8,2,1,1,-,9,7,2,2,16
"달서소방서","2020",115,8,14,52,-,1460,206846,257396,32352163,13,10,3,4,3,1,9,7,2,-,96
"달서소방서","2021",106,5,17,33,2,814,146330,136797,15808918,8,6,2,-,-,-,8,6,2,3,3
"달서소방서","2022",105,7,12,34,1,29986,163917,131778,31301129,11,5,6,2,2,-,9,3,6,2,2
"달서소방서","2023",125,2,22,37,1,1672,308406,537390,137542197,11,6,5,1,1,-,10,5,5,2,9
"달서소방서","2024",119,4,22,29,2,1304,346692,726062,65740531,23,15,8,7,4,3,16,11,5,5,3
"달성소방서","2020",109,4,13,54,1,2569,260127,413514,24108230,4,3,1,2,1,1,2,2,-,1,14
"달성소방서","2021",114,1,22,24,1,6035,789829,1022547,18372143,4,4,-,-,-,-,4,4,-,2,2
"달성소방서","2022",158,3,20,37,-,10099,521853,708424,19870034,22,19,3,-,-,-,22,19,3,-,1
"달성소방서","2023",109,4,37,45,-,2797,460662,684683,28333339,10,8,2,1,1,-,9,7,2,-,7
"달성소방서","2024",108,4,22,26,-,5514,866539,607744,18013428,10,6,4,-,-,-,10,6,4,-,-
"강서소방서","2020",124,2,1,31,4,4122,927672,460098,24168697,10,8,2,2,2,-,8,6,2,7,47
"강서소방서","2021",167,3,9,43,1,7872,1018237,673976,25604762,12,11,1,1,1,-,11,10,1,1,11
"강서소방서","2022",148,-,25,14,-,79227,5631228,5841352,45035970,9,7,2,-,-,-,9,7,2,-,2
"강서소방서","2023",125,-,25,10,-,8190,1231844,1002684,25516483,7,5,2,1,1,-,6,4,2,-,8
"강서소방서","2024",95,3,28,5,-,4934,1059278,2092705,1054450829,5,5,-,1,1,-,4,4,-,-,2
"강북소방서","2023",105,-,14,48,2,1748,230096,503671,7005719,6,3,3,1,1,-,5,2,3,6,2
"강북소방서","2024",119,3,36,51,3,154930,554103,641692,32774915,15,8,7,-,-,-,15,8,7,5,1
