"소방서별(1)","시점",발생 (건),발생 (건),발생 (건),발생 (건),소실,소실,소실,피해액 (천원),피해액 (천원),피해액 (천원),재산피해 경감액 (천원),인명피해 (명),인명피해 (명),인명피해 (명),이재민수 (명),구조인원 (명)
"소방서별(1)","시점",소계,실화,방화,기타,동수 (동),이재가구수 (가구),면적 (㎡),소계,부동산,동산,소계,소계,사망,부상,소계,소계
"소방서별(1)","시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계","2020",2499,2213,60,226,558,47,27761,5907121,1856165,4050956,328028909,179,13,166,100,266
"합계","2021",2271,2015,48,208,418,41,24139,6173646,2060994,4112652,208970665,154,16,138,75,109
"합계","2022",2488,2156,54,278,460,25,295097,9217306,3292356,5924950,208359077,185,33,152,45,130
"합계","2023",2468,2216,27,225,437,25,71826,11830264,3853039,7977225,2930575941,138,11,127,48,448
"합계","2024",2281,2008,52,221,353,34,25618,5911331,2197415,3713916,446793075,105,19,86,68,134
"중부소방서","2020",181,157,5,19,45,1,563,289529,92278,197251,16392793,18,3,15,1,18
"중부소방서","2021",142,127,4,11,29,3,433,293853,82187,211666,6377385,8,-,8,4,8
"중부소방서","2022",178,146,6,26,73,12,3812,355523,177496,178027,44129214,12,3,9,21,22
"중부소방서","2023",183,162,3,18,36,4,264,1403506,78390,1325116,97351570,6,1,5,4,19
"중부소방서","2024",159,139,3,17,27,-,897,170127,68361,101766,32655664,1,-,1,-,1
"부산진소방서","2020",328,296,10,22,47,1,1216,406956,171615,235341,88469408,22,1,21,2,40
"부산진소방서","2021",302,268,9,25,54,5,2002,900239,442287,457952,50117095,19,1,18,6,19
"부산진소방서","2022",285,250,7,28,26,1,565,267591,97404,170187,10124615,12,1,11,1,3
"부산진소방서","2023",300,277,3,20,38,7,3361,1081870,545034,536836,67823315,14,4,10,16,44
"부산진소방서","2024",289,262,7,20,47,2,798,329776,191353,138423,28602562,18,6,12,4,5
"동래소방서","2020",286,259,7,20,51,22,663,291655,138563,153092,17049619,28,3,25,44,93
"동래소방서","2021",250,226,6,18,15,29,1008,377677,208362,169315,9000161,35,1,34,58,36
"동래소방서","2022",257,232,6,19,7,7,511,385666,127691,257975,7559178,16,2,14,13,9
"동래소방서","2023",246,225,6,15,53,3,981,421139,223537,197602,2556517762,16,1,15,9,30
"동래소방서","2024",276,252,7,17,38,14,1040,375485,224757,150728,179017964,16,6,10,21,47
"북부소방서","2020",291,250,15,26,85,7,3637,1201490,407445,794045,12789651,29,-,29,15,7
"북부소방서","2021",265,233,9,23,58,1,6325,907303,212842,694461,14844670,25,2,23,2,5
"북부소방서","2022",289,252,9,28,37,-,5020,1046099,364035,682064,18916986,48,5,43,-,16
"북부소방서","2023",112,103,1,8,11,-,430,331885,74073,257812,7724884,8,-,8,-,14
"북부소방서","2024",117,102,3,12,14,-,424,345124,98624,246500,6286889,2,-,2,-,8
"사상소방서","2023",156,139,4,13,19,1,929,684507,149418,535089,4499233,6,-,6,4,1
"사상소방서","2024",153,130,6,17,17,-,920,755808,131951,623857,2204075,12,1,11,-,7
"사하소방서","2020",200,173,7,20,56,6,3650,369887,102163,267724,7533822,8,3,5,11,31
