"동별(1)","동별(2)",시점,발생 (건),발생 (건),발생 (건),발생 (건),소실,소실,소실,피해액 (천원),피해액 (천원),피해액 (천원),재산피해경감액 (천원),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),사망 (명),사망 (명),사망 (명),사망 (명),부상 (명),부상 (명),부상 (명),부상 (명),이재민수 (명),인명구조 (명)
"동별(1)","동별(2)",시점,소계,실화,방화,기타,동수 (동),이재세대수 (가구),면적 (m²),소계,부동산,동산,소계,소계,남,여,미상,소계,남,여,미상,소계,남,여,미상,소계,소계
"합계","소계",2020,5088,4523,98,467,577,147,29895,17438606,7298842,10139764,423641298,-,-,-,-,37,-,-,-,236,-,-,-,300,386
"합계","소계",2021,4951,4399,87,465,468,282,21723,18268346,6872172,11396174,336039670,-,-,-,-,37,-,-,-,280,-,-,-,597,383
"합계","소계",2022,5396,4756,109,531,586,234,34065,16592551,6614971,9977580,711916833,362,228,134,-,37,27,10,-,325,201,124,-,477,472
"합계","소계",2023,5671,5039,109,523,415,249,80770,16539914,6954032,9585882,2792405875,307,188,119,-,24,15,9,-,283,173,110,-,529,366
"합계","소계",2024,5654,5048,89,517,348,340,34822,21583897,11563623,10020274,834271536,328,185,130,13,23,14,9,-,305,171,121,13,740,426
"합계","종로구",2020,217,179,6,32,2,16,772,639751,192633,447118,31378721,-,-,-,-,2,-,-,-,5,-,-,-,16,13
"합계","종로구",2021,192,169,1,22,-,1,390,465499,169588,295911,21075683,-,-,-,-,-,-,-,-,12,-,-,-,3,3
"합계","종로구",2022,191,159,2,30,2,1,501,272206,151976,120230,19510470,12,6,6,-,2,1,1,-,10,5,5,-,3,18
"합계","종로구",2023,201,167,4,30,6,5,60658,423169,215173,207996,3916546,14,8,6,-,1,1,-,-,13,7,6,-,16,11
"합계","종로구",2024,197,174,4,19,26,6,2039,656484,292367,364117,8227631,16,4,6,6,4,2,2,-,12,2,4,6,19,15
"합계","중구",2020,185,170,2,13,51,5,740,1284422,573942,710480,25614384,-,-,-,-,-,-,-,-,10,-,-,-,8,17
