"소방서별(1)","시점",발생 (건),발생 (건),발생 (건),발생 (건),소실,소실,소실,피해액 (천원),피해액 (천원),피해액 (천원),재산피해경감액 (천원),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),이재민수 (명),이재민수 (명),이재민수 (명),구조인원 (명),구조인원 (명),구조인원 (명)
"소방서별(1)","시점",소계,실화,방화,기타,동수 (동),이재가구수 (가구),면적 (㎡),소계,부동산,동산,소계,소계,남,여,사망,사망,사망,부상,부상,부상,소계,남,여,소계,남,여
"소방서별(1)","시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,남,여,소계,남,여,소계,소계,소계,소계,소계,소계
"합계","2020",910,787,21,102,268,141,5393312,16584280,11652678,4931602,41654168,75,52,23,9,8,1,66,44,22,454,...,...,185,...,...
"합계","2021",802,690,10,102,72,48,53350,8965313,4172339,4792974,104751205,68,42,26,5,5,-,63,37,26,99,...,...,49,...,...
"합계","2022",923,823,17,83,192,20,279337,61035559,15653284,45382275,77111327,94,60,34,6,6,-,88,54,34,64,...,...,52,...,...
"합계","2023",794,701,12,81,69,4,33325,26499284,5581380,20917904,1102577282,84,52,32,12,9,3,72,43,29,8,...,...,69,...,...
"합계","2024",708,585,8,115,62,8,40550,8375470,3970451,4405019,25562732,44,33,11,4,4,-,40,29,11,17,...,...,354,...,...
"중부소방서","2020",232,206,6,20,10,3,178033,1480141,753460,726681,9888819,15,10,5,2,2,-,13,8,5,9,...,...,15,...,...
"중부소방서","2021",136,119,3,14,1,2,10749,1256379,680354,576025,616119,14,10,4,2,2,-,12,8,4,6,...,...,12,...,...
"중부소방서","2022",87,72,4,11,31,2,517,217836,118704,99132,397644,12,7,5,2,2,-,10,5,5,9,...,...,5,...,...
"중부소방서","2023",100,89,1,10,1,1,286,256514,82429,174085,7192716,9,5,4,1,1,-,8,4,4,1,...,...,2,...,...
"중부소방서","2024",79,61,1,17,13,-,159,161553,44866,116687,6436196,7,4,3,-,-,-,7,4,3,-,-,-,2,...,...
"남부소방서","2020",263,229,7,27,24,134,7514,11376588,9602746,1773842,11148866,32,23,9,3,2,1,29,21,8,438,...,...,141,...,...
"남부소방서","2021",216,195,4,17,8,15,1959,1190942,187957,1002985,65865668,27,16,11,2,2,-,25,14,11,15,...,...,12,...,...
"남부소방서","2022",256,232,8,16,59,7,47081,35370037,10229889,25140148,28868087,25,18,7,1,1,-,24,17,7,14,...,...,1,...,...
"남부소방서","2023",195,178,3,14,16,-,3502,9806682,1296146,8510536,5492887,24,15,9,3,2,1,21,13,8,-,-,-,5,...,...
"남부소방서","2024",193,160,3,30,11,5,6617,5028440,2798799,2229641,3534918,7,5,2,1,1,-,6,4,2,9,...,...,21,...,...
"동부소방서","2020",99,84,2,13,23,3,5427,174797,103430,71367,6787962,13,7,6,2,2,-,11,5,6,5,...,...,11,...,...
"동부소방서","2021",86,75,1,10,24,1,551,201731,113881,87850,4868213,7,4,3,1,1,-,6,3,3,1,...,...,15,...,...
"동부소방서","2022",73,70,1,2,29,1,20409,208163,77079,131084,610344,3,1,2,-,-,-,3,1,2,1,...,...,1,...,...
"동부소방서","2023",76,67,-,9,4,1,423,131289,67317,63972,959415,10,8,2,2,1,1,8,7,1,2,...,...,-,-,-
"동부소방서","2024",76,70,1,5,1,1,509,67451,35182,32269,258075,1,1,-,-,-,-,1,1,-,1,...,...,232,...,...
"북부소방서","2020",140,124,2,14,202,1,3498,973822,706299,267523,6936222,6,4,2,-,-,-,6,4,2,2,...,...,14,...,...
"북부소방서","2021",147,134,-,13,25,-,4738,3057463,862951,2194512,9835298,1,1,-,-,-,-,1,1,-,-,...,...,-,...,...
"북부소방서","2022",151,141,-,10,17,1,15587,416433,165246,251187,199665,21,12,9,-,-,-,21,12,9,22,...,...,29,...,...
"북부소방서","2023",119,112,1,6,16,1,1206,836189,298505,537684,32679630,23,13,10,4,3,1,19,10,9,2,...,...,57,...,...
"북부소방서","2024",116,106,-,10,11,1,2149,921902,470436,451466,1970866,4,4,-,1,1,-,3,3,-,4,...,...,84,...,...
"남울주소방서","2020",176,144,4,28,9,-,5198840,2578932,486743,2092189,6892299,9,8,1,2,2,-,7,6,1,-,...,...,4,...,...
"남울주소방서","2021",151,115,1,35,12,15,33789,2644012,1833654,810358,23541079,12,8,4,-,-,-,12,8,4,35,...,...,4,...,...
"남울주소방서","2022",158,136,4,18,25,3,43446,23966140,4693624,19272516,44532068,28,21,7,2,2,-,26,19,7,7,...,...,16,...,...
"남울주소방서","2023",134,112,2,20,25,-,9583,14773254,3580313,11192941,2746348,7,6,1,1,1,-,6,5,1,-,-,-,3,...,...
"남울주소방서","2024",107,75,2,30,18,-,1792,1143284,307395,835889,5213289,21,17,4,1,1,-,20,16,4,-,-,-,11,...,...
"서울주소방서","2021",66,52,1,13,2,15,1563,614786,493542,121244,24828,7,3,4,-,-,-,7,3,4,42,...,...,6,...,...
"서울주소방서","2022",198,172,-,26,31,6,152297,856950,368742,488208,2503519,5,1,4,1,1,-,4,-,4,11,...,...,-,...,...
"서울주소방서","2023",170,143,5,22,7,1,18323,695356,256670,438686,1053506286,11,5,6,1,1,-,10,4,6,3,...,...,2,...,...
"서울주소방서","2024",137,113,1,23,8,1,29324,1052840,313773,739067,8149388,4,2,2,1,1,-,3,1,2,3,...,...,4,...,...
