"소방서별(1)","시점",발생 (건),발생 (건),발생 (건),소실,소실,소실,피해액 (천원),피해액 (천원),재산피해경감액 (천원),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),이재민수 (명),구조인원 (명)
"소방서별(1)","시점",실화,방화,기타,동수 (동),이재가구수 (가구),면적 (㎡),부동산,동산,소계,계,계,계,사망,사망,사망,부상,부상,부상,소계,소계
"소방서별(1)","시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,계,남자,여자,계,남자,여자,계 ,남자,여자,소계,소계
"합계","2020",1213,41,114,706,99,785676,5160008,6582576,585166908,88,62,26,22,15,7,66,47,19,168,90
"합계","2021",1139,36,95,656,119,55883,5667071,9717699,1153896534,75,47,28,10,5,5,65,42,23,181,207
"합계","2022",1148,22,109,710,1279,60441,11946313,41385843,53332156,124,75,49,16,10,6,108,65,43,1279,1279
"합계","2023",1202,42,88,554,52,285156,13556270,11400127,1493957180,143,101,42,16,10,6,127,91,36,96,1493
"합계","2024",1162,37,119,537,69,111033,22970228,49848259,508604877,145,97,48,12,9,3,133,88,45,106,344
"중부소방서","2020",115,5,17,62,-,2426,259962,412810,15629494,4,2,2,2,1,1,2,1,1,-,5
"중부소방서","2021",107,2,9,62,-,19254,853660,1376300,62459964,2,2,-,-,-,-,2,2,-,-,13
"중부소방서","2022",...,1,...,28,64,2377,88134,264261,352395,2,2,-,-,-,-,2,2,-,64,64
"중부소방서","2023",112,8,6,96,9,15443,1608029,1508830,425211889,17,10,7,-,-,-,17,10,7,16,200
"중부소방서","2024",111,-,7,46,17,19089,486384,803445,8911662,16,12,4,1,-,1,15,12,3,29,14
"남동소방서","2020",112,2,14,68,4,13366,234794,887580,6133130,9,8,1,1,1,-,8,7,1,9,7
"남동소방서","2021",105,7,5,48,4,3754,565021,437125,17006511,19,11,8,2,1,1,17,10,7,7,37
"남동소방서","2022",...,5,...,169,236,23842,7796017,9540416,17336433,19,15,4,4,2,2,15,13,2,236,236
"남동소방서","2023",113,3,7,46,7,879,197209,301118,20947728,9,8,1,2,1,1,7,7,-,13,82
"남동소방서","2024",85,6,10,58,12,1287,274039,415950,17505397,11,5,6,1,1,-,10,4,6,27,15
"부평소방서","2020",135,5,25,90,13,2375,476204,326115,31041401,7,7,-,2,2,-,5,5,-,21,12
"부평소방서","2021",128,5,21,92,12,1148,235319,333741,17398612,8,6,2,1,-,1,7,6,1,18,15
"부평소방서","2022",...,3,...,71,129,2006,218738,478549,697287,19,5,14,1,1,-,18,4,14,129,129
"부평소방서","2023",122,9,10,86,2,4596,1604136,1442487,75276467,13,11,2,-,-,-,13,11,2,3,291
"부평소방서","2024",99,4,6,16,-,2783,408733,3185070,112077368,12,3,9,1,-,1,11,3,8,-,89
"서부소방서","2020",234,2,9,83,38,10442,1177283,1392129,114664983,8,5,3,3,1,2,5,4,1,52,20
"서부소방서","2021",212,8,20,92,62,15430,2832693,4460945,98994696,8,6,2,1,-,1,7,6,1,83,39
"서부소방서","2022",...,3,...,69,120,944,238585,248687,487272,11,7,4,2,1,1,9,6,3,120,120
"서부소방서","2023",163,5,17,91,2,10710,4513728,938043,70040805,15,11,4,5,4,1,10,7,3,5,100
"서부소방서","2024",154,7,11,76,7,30588,10385777,10999923,18856007,28,23,5,3,3,-,25,20,5,7,14
"공단소방서","2020",144,4,8,143,12,712641,1245154,1026035,56321625,26,15,11,7,4,3,19,11,8,19,10
"공단소방서","2021",134,3,9,69,11,1530,198710,450379,25984928,8,7,1,2,2,-,6,5,1,17,2
"공단소방서","2022",...,-,...,83,140,1281,197989,221615,419604,17,14,3,2,2,-,15,12,3,140,140
"공단소방서","2023",123,3,11,26,8,6913,2273742,1858197,40231995,35,19,16,2,2,-,33,17,16,11,218
"공단소방서","2024",146,4,1,22,-,7542,980182,1436961,161797086,24,19,5,1,1,-,23,18,5,-,39
"계양소방서","2020",112,6,5,68,6,1549,99597,235193,27236792,6,5,1,2,2,-,4,3,1,18,9
"계양소방서","2021",115,6,5,76,2,1271,141908,334519,12347828,9,6,3,1,1,-,8,5,3,7,3
"계양소방서","2022",...,1,...,81,129,2544,415747,371710,787457,14,7,7,1,-,1,13,7,6,129,129
"계양소방서","2023",119,4,7,70,5,2774,154797,224500,20717823,8,6,2,4,2,2,4,4,-,13,201
"계양소방서","2024",109,3,14,23,5,930,139749,178986,5991281,8,6,2,1,-,1,7,6,1,8,74
"미추홀소방서","2020",126,9,20,70,15,725,217734,369726,101731395,13,9,4,4,3,1,9,6,3,31,22
"미추홀소방서","2021",121,3,12,83,16,1810,238826,675668,2525529,12,8,4,2,1,1,10,7,3,26,87
"미추홀소방서","2022",...,3,...,82,146,3702,328029,520644,848673,17,14,3,3,2,1,14,12,2,146,146
"미추홀소방서","2023",99,6,7,65,9,1208,239247,216541,31181805,16,11,5,1,1,-,15,10,5,16,178
"미추홀소방서","2024",120,5,19,89,14,1615,358021,548507,89366725,26,15,11,2,2,-,24,13,11,27,42
"강화소방서","2020",116,3,3,85,10,35331,1258514,1384191,20987737,10,7,3,1,1,-,9,6,3,16,4
"강화소방서","2021",90,1,7,76,10,8122,350217,252653,11855721,5,-,5,1,-,1,4,-,4,16,10
"강화소방서","2022",...,4,...,64,132,6420,2026176,29247820,31273996,9,6,3,1,1,-,8,5,3,132,132
