지역,연도,소방장비대수,화재발생건수,피해액_천원,사망,부상,구조인원
서울,2020,1054,5088,17438606,37,236,386
서울,2021,1081,4951,18268346,37,280,383
서울,2022,1104,5396,16592551,37,325,472
서울,2023,1118,5671,16539914,24,283,366
서울,2024,1117,5654,21583897,23,305,426
부산,2020,1054,2499,5907121,13,166,266
부산,2021,1081,2271,6173646,16,138,109
부산,2022,1104,2488,9217306,33,152,130
부산,2023,1118,2468,11830264,11,127,448
부산,2024,1117,2281,5911331,19,86,134
대구,2020,416,1103,2893854,11,63,404
대구,2021,456,1027,4807498,5,60,69
대구,2022,434,1104,12875521,18,111,91
대구,2023,532,1069,9229006,14,69,67
대구,2024,494,982,4468379,11,95,98
인천,2020,448,1213,5160008,22,66,90
인천,2021,460,1139,5667071,10,65,207
인천,2022,585,1148,11946313,16,108,1279
인천,2023,529,1202,13556270,16,127,1493
인천,2024,529,1162,22970228,12,133,344
광주,2020,246,882,3315188,4,28,71
광주,2021,259,743,20199240,8,19,23
광주,2022,273,761,3385131,3,25,36
광주,2023,275,732,5407933,6,27,71
광주,2024,273,688,6111077,9,42,139
울산,2020,263,910,16584280,9,66,185
울산,2021,224,802,8965313,5,63,49
울산,2022,229,923,61035559,6,88,52
울산,2023,226,794,26499284,12,72,69
울산,2024,300,708,8375470,4,40,354
